Shape,1k Real 1,1k Real 2,1k Real 3,1k Img 1,1k Img 2,1k Img 3,2k Real 1,2k Real 2,2k Real 3,2k Img 1,2k Img 2,2k Img 3
Aluminium Cube,-0.090832395,-0.090837413,-0.090823885,0.840776858,0.840796282,0.840736435,0.003264464,0.003269288,0.003212646,0.949468686,0.950267067,0.948465674
Aluminium Cube,-0.090886405,-0.090896329,-0.090883442,0.840768169,0.840799024,0.84073997,0.00339391,0.003421837,0.003363336,0.949124592,0.950235472,0.948447636
Aluminium Cube,-0.090906685,-0.090917424,-0.090904034,0.840771629,0.840810712,0.840744999,0.003433381,0.003459761,0.003394352,0.948866523,0.950264322,0.94858282
Aluminium Cube,-0.090897155,-0.090904292,-0.090900749,0.840755249,0.840820466,0.840739917,0.00341456,0.003470799,0.003383105,0.94867392,0.950272629,0.948765482
Aluminium Cube,-0.090969826,-0.090982938,-0.090977791,0.840753875,0.840806393,0.840754508,0.003558931,0.003591428,0.003527676,0.948298426,0.950041828,0.948725459
Aluminium Cube,-0.090982429,-0.090998455,-0.090993965,0.840754771,0.840808968,0.840757802,0.003598965,0.003642278,0.003582934,0.948154868,0.949983117,0.948976878
Aluminium Cube,-0.0909843,-0.090995751,-0.090997433,0.8407522,0.840821951,0.840765068,0.00362282,0.003664939,0.00359114,0.948033048,0.949843306,0.949182091
Aluminium Cube,-0.090982041,-0.09099127,-0.091000929,0.840745411,0.840813491,0.840768959,0.003624048,0.003671367,0.003621561,0.947965353,0.949688381,0.949388187
Aluminium Cube,-0.091073626,-0.091081018,-0.091093403,0.840747868,0.840805547,0.840779485,0.003843054,0.003893885,0.003843419,0.947754931,0.949279248,0.949353315
Aluminium Cube,-0.091082877,-0.091088605,-0.091101001,0.84075307,0.840807635,0.840789844,0.003848792,0.003899467,0.003854537,0.947793653,0.949081099,0.949528544
Aluminium Cube,-0.091084481,-0.091087313,-0.091106825,0.840754734,0.840801202,0.840792288,0.003850865,0.003890971,0.003850472,0.947841535,0.948842175,0.949625639
Aluminium Cube,-0.091087995,-0.091087696,-0.091109201,0.840751262,0.840793313,0.84079052,0.003878187,0.003911693,0.003869999,0.947961589,0.948649923,0.949762755
Aluminium Cube,-0.091092577,-0.091086923,-0.091109633,0.840755168,0.840789534,0.840795041,0.003880967,0.003911394,0.003874806,0.948115078,0.948430946,0.949818506
Aluminium Cube,-0.09109219,-0.091084163,-0.091107521,0.840760361,0.840786268,0.840798224,0.003887081,0.003919567,0.003885649,0.948290297,0.948232636,0.949824877
Aluminium Cube,-0.091097624,-0.091086681,-0.091111575,0.840771044,0.840783519,0.840802113,0.003886726,0.003898183,0.00386772,0.948519609,0.948059519,0.94979718
Aluminium Cube,-0.091099143,-0.091084964,-0.091107262,0.840778122,0.840784157,0.840804301,0.003878916,0.003889131,0.003864194,0.948738141,0.947927023,0.949728812
Aluminium Cube,-0.091096725,-0.091077726,-0.091102157,0.840777522,0.840776281,0.840793537,0.003852582,0.003863939,0.00385369,0.948910492,0.947808004,0.94957979
Aluminium Cube,-0.091094546,-0.091072243,-0.091095072,0.840778205,0.840773048,0.840790486,0.003864085,0.003886649,0.003850589,0.949186896,0.947772684,0.949474035
Aluminium Cube,-0.091090366,-0.091066235,-0.091086975,0.840777524,0.840767534,0.840784051,0.003862317,0.003880689,0.003848672,0.949365198,0.947754548,0.949288504
Aluminium Cube,-0.090994287,-0.090969278,-0.090990069,0.840773278,0.840767802,0.840778258,0.003633504,0.003643665,0.0036284,0.949746478,0.947972802,0.949306024
Aluminium Cube,-0.091001782,-0.090971403,-0.090990187,0.840781807,0.840775661,0.840782705,0.003627091,0.00364752,0.003615112,0.949905316,0.948063798,0.949106751
Aluminium Cube,-0.091001234,-0.090978185,-0.090991386,0.840786413,0.840765888,0.840766165,0.003607401,0.003609518,0.003602223,0.949989958,0.948180163,0.948891134
Aluminium Cube,-0.090986381,-0.09096371,-0.090971733,0.840792724,0.840773572,0.840764661,0.003582728,0.003590821,0.003563718,0.950054881,0.948356617,0.948658977
Aluminium Cube,-0.090917885,-0.09088931,-0.090897973,0.840772647,0.840773052,0.84076031,0.003427373,0.003453461,0.003418625,0.950291972,0.948728505,0.948690711
Aluminium Cube,-0.090911733,-0.090893775,-0.090894318,0.840786858,0.840773014,0.840751812,0.003416208,0.003439724,0.003410877,0.950264752,0.948947431,0.948516788
Aluminium Cube,-0.090897518,-0.090884611,-0.090878809,0.840787267,0.840780301,0.840750628,0.003394755,0.00340188,0.003375107,0.950213921,0.949207864,0.948404987
Aluminium Cube,-0.090837635,-0.090828843,-0.090820411,0.840784564,0.840782935,0.840746129,0.003235406,0.00326411,0.003240382,0.95022627,0.949542014,0.948435234
Aluminium Cube,-0.090812684,-0.090805132,-0.090794726,0.840782361,0.840785454,0.840744877,0.003186897,0.003210055,0.003176049,0.950114671,0.949795638,0.948409086
Aluminium Cylinder,0.164638029,0.163973903,0.130853699,-0.721922356,-0.721863456,-0.716995102,-0.887246962,-0.88646597,-0.836721217,-0.201845788,-0.202402234,-0.21138177
Aluminium Cylinder,0.136340558,0.135139958,0.158865374,-0.711089815,-0.710754662,-0.728118869,-0.863122213,-0.861912103,-0.846362027,-0.175684862,-0.175282447,-0.235866844
Aluminium Cylinder,0.090840047,0.089182698,0.166845142,-0.689118757,-0.688375365,-0.730913583,-0.815190964,-0.813781755,-0.848074524,-0.130048947,-0.129106512,-0.242710266
Aluminium Cylinder,0.032043565,0.030040106,0.15412116,-0.651201997,-0.649895045,-0.726182927,-0.741242487,-0.739406805,-0.845254485,-0.06824777,-0.067517137,-0.232929877
Aluminium Cylinder,-0.034865753,-0.037025306,0.121730416,-0.592559555,-0.590543054,-0.712754054,-0.651623937,-0.649708508,-0.830542639,0.003414539,0.004315307,-0.203961103
Aluminium Cylinder,-0.103375709,-0.105481228,0.072405384,-0.50899268,-0.506177116,-0.686930516,-0.564709941,-0.562876342,-0.794459043,0.072516896,0.073175057,-0.157460455
Aluminium Cylinder,-0.16650716,-0.168348907,0.010475758,-0.399145009,-0.395554502,-0.643923533,-0.496652785,-0.494830859,-0.730176058,0.123513286,0.123263998,-0.096911291
Aluminium Cylinder,-0.217529306,-0.218910578,-0.058138292,-0.265501687,-0.261257549,-0.578607114,-0.445692783,-0.443000539,-0.6423065,0.139657591,0.137600516,-0.030819244
Aluminium Cylinder,-0.251256505,-0.252052583,-0.126537541,-0.115579606,-0.11099217,-0.487495508,-0.384086659,-0.380026789,-0.544854481,0.106075308,0.102812504,0.026054569
Aluminium Cylinder,-0.265054352,-0.265223125,-0.18744551,0.038301711,0.042823267,-0.369996794,-0.273725403,-0.26723371,-0.450569045,0.017155301,0.012272494,0.056493681
Aluminium Cylinder,-0.259666183,-0.259258395,-0.234147873,0.180273782,0.184212248,-0.229806881,-0.10033392,-0.091746973,-0.356975319,-0.113634298,-0.119439692,0.045348636
Aluminium Cylinder,-0.239428238,-0.238627976,-0.261712204,0.293243848,0.296102823,-0.075662418,0.097291577,0.105463232,-0.241211233,-0.241378757,-0.246028598,-0.017350426
Aluminium Cylinder,-0.212074873,-0.211030349,-0.268181017,0.362126259,0.36352063,0.07881346,0.222958762,0.226239605,-0.079007455,-0.296803378,-0.297846278,-0.127921855
Aluminium Cylinder,-0.185900777,-0.18495189,-0.255078074,0.378211271,0.37797307,0.217146329,0.185414658,0.182226589,0.122144214,-0.207584426,-0.203185868,-0.260857972
Aluminium Cylinder,-0.169445719,-0.168816012,-0.227647074,0.341135812,0.339420551,0.322070159,-0.036938327,-0.046142241,0.297192851,0.042780576,0.05137815,-0.359479246
Aluminium Cylinder,-0.167935398,-0.16773074,-0.193584978,0.261304522,0.258530409,0.379812535,-0.348794316,-0.359833769,0.344543341,0.38641655,0.396329675,-0.352974642
Aluminium Cylinder,-0.184615818,-0.184829828,-0.164090428,0.158456098,0.155383615,0.38222807,-0.585001152,-0.59273076,0.18089233,0.677386538,0.682814831,-0.18649397
